
Naive Bayes Classifier

                Class
Attribute           A      C      D      E      F      G      H      L      P      R
                  (0)    (0) (0.12) (0.12)  (0.1) (0.15) (0.12) (0.07) (0.15) (0.17)
=====================================================================================
OBJNUM
  50               1.0    1.0    1.0    4.0    2.0   30.0    5.0    3.0   28.0   26.0
  51               1.0    1.0    1.0    1.0    2.0    1.0    2.0    1.0   26.0   28.0
  52               1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0   24.0   36.0
  53               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   24.0   27.0
  54               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   12.0   18.0
  55               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   21.0   19.0
  56               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   15.0   13.0
  57               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   17.0   17.0
  58               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    8.0    5.0
  59               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   12.0    5.0
  60               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0   10.0    9.0
  61               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    8.0   10.0
  62               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    5.0    3.0
  63               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  64               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0
  [total]         67.0   67.0 2498.0 2567.0 2067.0 3080.0 2567.0 1567.0 3056.0 3570.0

SIZE
  1                1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0    2.0
  1.41             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  2                1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    2.0
  2.24             1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    5.0    6.0
  2.83             1.0    1.0    1.0    1.0    1.0    5.0    1.0    1.0    7.0    5.0
  3                1.0    1.0    1.0    1.0    1.0   55.0    1.0    1.0    9.0    8.0
  3.16             1.0    1.0    1.0    1.0    1.0   19.0    1.0    1.0    6.0    9.0
  3.61             1.0    1.0    5.0    1.0    1.0   38.0    1.0    1.0   19.0   19.0
  4                1.0    1.0    1.0    1.0    1.0  110.0    1.0    1.0    5.0    4.0
  4.12             1.0    1.0    3.0    1.0    1.0   17.0    1.0    1.0    6.0    7.0
  4.24             1.0    1.0    3.0    1.0    1.0    5.0    1.0    1.0    6.0   15.0
  4.47             1.0    1.0    5.0    1.0    1.0   27.0    1.0    1.0   22.0    6.0
  5                1.0    1.0   21.0    1.0    1.0  250.0    1.0    1.0   45.0   46.0
  5.1              1.0    1.0   38.0    1.0    1.0   18.0    1.0    1.0   25.0   17.0
  5.39             1.0    1.0   17.0    1.0    1.0   17.0    1.0    1.0   23.0   25.0
  5.66             1.0    1.0    9.0    1.0    1.0   10.0    1.0    1.0   14.0    3.0
  5.83             1.0    1.0   37.0    1.0    1.0   43.0    1.0    1.0   33.0   45.0
  6                1.0    1.0    1.0   56.0   58.0  150.0   58.0   40.0   33.0   45.0
  6.08             1.0    1.0    5.0   38.0   25.0   31.0   27.0   17.0    9.0   16.0
  6.32             1.0    1.0   29.0   21.0   24.0   46.0   29.0   19.0   23.0   27.0
  6.4              1.0    1.0   43.0    1.0    1.0   27.0    1.0    1.0   25.0   17.0
  6.71             1.0    1.0   12.0    1.0    1.0   27.0    1.0    1.0   19.0   17.0
  7                1.0    1.0   50.0   47.0   44.0   97.0   62.0   34.0   39.0   56.0
  7.07             1.0    1.0   29.0   41.0   27.0   41.0   39.0   22.0   32.0   41.0
